city,forecast_date,temp_max,temp_min,precipitation,wind_speed,condition
Maiduguri,2026-08-06,31.9,24.9,3.4,16.4,Thunderstorm ⛈️
Maiduguri,2026-08-07,31.2,23.9,2.3,11.8,Dense Drizzle 🌧️
Maiduguri,2026-08-08,32.1,23.3,5.0,11.9,Slight Showers 🌦️
Maiduguri,2026-08-09,31.6,22.9,5.6,12.9,Slight Showers 🌦️
Uyo,2026-08-03,27.6,22.8,9.1,10.3,Moderate Showers 🌧️
Uyo,2026-08-04,30.4,22.6,11.3,8.1,Moderate Showers 🌧️
Uyo,2026-08-05,28.4,22.9,12.9,16.1,Moderate Showers 🌧️
Uyo,2026-08-06,28.4,22.8,4.9,14.3,Moderate Showers 🌧️
Uyo,2026-08-07,27.4,22.6,14.4,11.9,Moderate Showers 🌧️
Uyo,2026-08-08,27.1,23.1,16.2,9.9,Moderate Showers 🌧️
Uyo,2026-08-09,25.1,22.9,11.8,8.8,Slight Showers 🌦️
